2021-05-03T15:19:18.810Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6}
2021-05-03T15:19:19.615Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 49620}
2021-05-03T15:19:19.819Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 66288}
2021-05-03T15:19:20.646Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 44845}
2021-05-03T15:19:20.848Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 87756}
2021-05-03T15:19:21.650Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12}
2021-05-03T15:19:21.850Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:22.658Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 61067}
2021-05-03T15:19:22.861Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 24126}
2021-05-03T15:19:23.668Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 71712}
2021-05-03T15:19:23.869Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2070}
2021-05-03T15:19:24.669Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:24.870Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 42863}
2021-05-03T15:19:25.770Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 65966}
2021-05-03T15:19:25.983Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 11265}
2021-05-03T15:19:26.787Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12}
2021-05-03T15:19:27.187Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:19:27.790Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 44646}
2021-05-03T15:19:27.992Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 65696}
2021-05-03T15:19:28.815Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 75713}
2021-05-03T15:19:29.017Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 79525}
2021-05-03T15:19:29.818Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 14}
2021-05-03T15:19:30.018Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:30.830Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 48197}
2021-05-03T15:19:31.031Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 72454}
2021-05-03T15:19:31.838Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 57295}
2021-05-03T15:19:32.038Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 537}
2021-05-03T15:19:32.838Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40}
2021-05-03T15:19:33.040Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 47118}
2021-05-03T15:19:33.847Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 43551}
2021-05-03T15:19:34.052Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 24991}
