2021-05-03T09:56:16.059Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 16589}
2021-05-03T09:56:16.260Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 28999}
2021-05-03T09:56:17.066Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 27591}
2021-05-03T09:56:17.266Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13318}
2021-05-03T09:56:18.073Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 7753}
2021-05-03T09:56:18.274Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 18518}
2021-05-03T09:56:19.076Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10290}
2021-05-03T09:56:19.277Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 7118}
2021-05-03T09:56:20.078Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8704}
2021-05-03T09:56:20.278Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 9378}
2021-05-03T09:56:21.080Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10097}
2021-05-03T09:56:21.280Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10318}
2021-05-03T09:56:22.081Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 15286}
2021-05-03T09:56:22.282Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6720}
2021-05-03T09:56:23.084Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 32938}
2021-05-03T09:56:23.285Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 34989}
2021-05-03T09:56:24.089Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 29299}
2021-05-03T09:56:24.290Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 35433}
2021-05-03T09:56:25.093Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 22996}
2021-05-03T09:56:25.295Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 23514}
