2021-05-03T14:57:49.643Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 512}
2021-05-03T14:57:49.843Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1555}
2021-05-03T14:57:51.247Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2}
2021-05-03T14:57:52.847Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 5658}
2021-05-03T14:57:53.048Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12147}
2021-05-03T14:57:53.861Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 272}
2021-05-03T14:57:54.062Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8682}
2021-05-03T14:57:54.863Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 17909}
2021-05-03T14:57:55.063Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 14381}
2021-05-03T14:57:55.864Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12060}
2021-05-03T14:57:56.064Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12421}
2021-05-03T14:57:56.865Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 43948}
2021-05-03T14:57:57.066Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 68032}
2021-05-03T14:57:57.873Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6228}
2021-05-03T14:57:58.077Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 974}
2021-05-03T14:57:58.883Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 44990}
2021-05-03T14:57:59.084Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 52046}
2021-05-03T14:57:59.888Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 71420}
2021-05-03T14:58:00.089Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 58160}
2021-05-03T14:58:00.890Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 512}
2021-05-03T14:58:01.090Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1536}
2021-05-03T14:58:01.890Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 512}
2021-05-03T14:58:02.090Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 512}
2021-05-03T14:58:03.692Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6}
2021-05-03T14:58:04.692Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10700}
2021-05-03T14:58:04.893Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10553}
2021-05-03T14:58:05.705Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 242}
2021-05-03T14:58:05.910Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8168}
2021-05-03T14:58:06.711Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 16270}
2021-05-03T14:58:06.911Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13282}
2021-05-03T14:58:07.712Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 11841}
2021-05-03T14:58:07.913Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12526}
2021-05-03T14:58:08.714Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 41925}
2021-05-03T14:58:08.915Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 84631}
2021-05-03T14:58:09.720Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38220}
2021-05-03T14:58:09.924Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1264}
2021-05-03T14:58:10.729Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39018}
2021-05-03T14:58:10.929Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 54598}
2021-05-03T14:58:11.733Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 57323}
2021-05-03T14:58:11.934Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 56284}
2021-05-03T14:58:13.135Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 512}
2021-05-03T14:58:13.535Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2572}
2021-05-03T14:58:14.736Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1}
2021-05-03T14:58:15.936Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6}
2021-05-03T14:58:16.736Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 5843}
2021-05-03T14:58:16.936Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13434}
2021-05-03T14:58:17.139Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2770}
2021-05-03T14:58:17.996Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 9098}
2021-05-03T14:58:18.196Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12218}
2021-05-03T14:58:18.997Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 14266}
2021-05-03T14:58:19.198Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 14312}
2021-05-03T14:58:19.999Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 11915}
2021-05-03T14:58:20.199Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12327}
2021-05-03T14:58:21.001Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 66032}
2021-05-03T14:58:21.202Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 55956}
2021-05-03T14:58:22.006Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 28064}
2021-05-03T14:58:22.213Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1275}
2021-05-03T14:58:23.018Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 37042}
2021-05-03T14:58:23.219Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 46221}
2021-05-03T14:58:24.023Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 55652}
2021-05-03T14:58:24.224Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 54665}
2021-05-03T14:58:25.025Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2560}
2021-05-03T14:58:25.825Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 520}
2021-05-03T14:58:26.025Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1026}
2021-05-03T14:58:29.227Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8782}
2021-05-03T14:58:29.427Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 9344}
2021-05-03T14:58:30.244Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 264}
2021-05-03T14:58:30.445Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 7156}
2021-05-03T14:58:31.247Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 18252}
2021-05-03T14:58:31.447Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12714}
2021-05-03T14:58:32.248Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 11982}
2021-05-03T14:58:32.448Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12472}
2021-05-03T14:58:33.250Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 26812}
2021-05-03T14:58:33.450Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 62132}
2021-05-03T14:58:34.254Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 47804}
